DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/26/2019,EV,4268,10781,12266,930,0,0,
1,8/5/2019,EV,4269,13485,11618,615,0,0,
1,8/12/2019,EV,4269,13485,11618,615,0,0,
1,8/19/2019,EV,4269,13485,11618,615,,1,
1,8/5/2019,EV,4270,15370,12266,1700,0,0,
1,8/12/2019,EV,4270,15370,12266,1700,0,0,
1,8/19/2019,EV,4270,15370,12266,1700,0,0,
1,8/5/2019,EV,4271,12448,12266,1200,0,0,
1,8/12/2019,EV,4271,12448,12266,1200,0,0,
1,8/19/2019,EV,4271,12448,12266,1200,11,0,
1,8/5/2019,EV,4273,12266,10693,730,0,0,
1,8/12/2019,EV,4273,12266,10693,730,0,0,
1,8/19/2019,EV,4273,12266,10693,730,0,0,
1,8/26/2019,EV,4273,12266,10693,730,0,0,
1,8/5/2019,EV,4274,13930,13029,1545,0,0,
1,8/12/2019,EV,4274,13930,13029,1545,,1,
1,8/19/2019,EV,4274,13930,13029,1545,0,0,
1,8/5/2019,EV,4275,13930,13367,935,16,0,0
1,8/26/2019,EV,4277,13244,11618,1715,48,0,0
1,8/5/2019,EV,4277,13931,11618,1330,0,0,
1,8/12/2019,EV,4277,13931,11618,1330,,1,
1,8/19/2019,EV,4277,13931,11618,1330,26,0,0
1,8/5/2019,EV,4279,11618,11996,815,0,0,
1,8/12/2019,EV,4279,11618,11996,815,72,0,0
1,8/19/2019,EV,4279,11618,11996,815,0,0,
1,8/26/2019,EV,4279,11618,11996,815,0,0,
1,8/5/2019,EV,4280,10279,12266,710,0,0,
1,8/12/2019,EV,4280,10279,12266,710,0,0,
1,8/19/2019,EV,4280,10279,12266,710,0,0,
1,8/26/2019,EV,4280,10279,12266,710,0,0,
1,8/5/2019,EV,4280,12266,11973,1005,0,0,
1,8/12/2019,EV,4280,12266,11973,1005,0,0,
1,8/19/2019,EV,4280,12266,11973,1005,0,0,
1,8/26/2019,EV,4280,12266,11973,1005,0,0,
1,8/5/2019,EV,4281,11042,11278,839,0,0,
1,8/12/2019,EV,4281,11042,11278,839,0,0,
1,8/19/2019,EV,4281,11042,11278,839,0,0,
1,8/26/2019,EV,4281,11042,11278,834,0,0,
1,8/5/2019,EV,4283,13930,14574,745,59,0,0
1,8/12/2019,EV,4283,13930,14574,745,0,0,
1,8/19/2019,EV,4283,13930,14574,745,,1,
1,8/5/2019,EV,4284,13930,15016,745,0,0,
1,8/12/2019,EV,4284,13930,15016,745,64,0,0
1,8/19/2019,EV,4284,13930,15016,745,0,0,
1,8/26/2019,EV,4284,13930,15016,750,0,0,0
